id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10
34,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,11-Oct-2017,12:00,0.0,
35,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,11-Oct-2017,16:00,0.0,
36,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,11-Oct-2017,20:00,0.0,
37,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,00:00,0.0,
38,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,04:00,0.0,
39,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,08:00,0.0,
40,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,12:00,0.0,
41,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,16:00,0.0,
42,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,12-Oct-2017,20:00,0.0,
43,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,13-Oct-2017,00:00,0.0,
44,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,13-Oct-2017,04:00,0.0,
45,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,13-Oct-2017,08:00,0.0,
46,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,13-Oct-2017,12:00,0.0,
47,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,13-Oct-2017,16:00,0.0,
48,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,14-Oct-2017,00:00,0.0,
49,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,14-Oct-2017,04:00,0.0,
50,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,14-Oct-2017,08:00,0.0,
51,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,14-Oct-2017,12:00,0.0,
52,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,14-Oct-2017,16:00,0.0,
