Station,Year,January,February,March,April,May,June,July,August,September,October,November,December
"ITO, New Delhi - CPCB",2012,31,29,30,30,26,NA,NA,NA,9,29,30,31
"ITO, New Delhi - CPCB",2011,31,28,30,30,30,30,30,24,30,31,30,29
"ITO, New Delhi - CPCB",2010,21,12,30,27,31,30,13,31,30,31,30,31
"ITO, New Delhi - CPCB",2009,26,28,31,21,25,30,20,22,28,31,17,29
"ITO, New Delhi - CPCB",2008,31,25,29,28,31,30,31,31,28,21,30,31
"ITO, New Delhi - CPCB",2007,31,27,28,29,31,30,30,27,30,29,30,30
"ITO, New Delhi - CPCB",2006,NA,NA,NA,NA,NA,NA,NA,16,29,29,30,31
"Jahangirpuri, Delhi - DPCC",2018,NA,28,31,30,31,30,30,31,30,NA,NA,NA
"Jawaharlal Nehru Stadium, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"Lodhi Road, New Delhi - IMD",2018,31,28,30,30,31,25,31,31,30,NA,NA,NA
"Lodhi Road, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,NA,24,31,30,30
"Lodhi Road, New Delhi - IMD",2014,31,27,31,30,31,30,31,30,30,28,14,NA
"Major Dhyan Chand National Stadium, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"Mandir Marg, New Delhi - DPCC",2018,31,28,31,30,31,30,31,31,30,NA,NA,NA
"Mandir Marg, New Delhi - DPCC",2017,29,26,31,29,31,30,31,28,30,31,30,30
"Mandir Marg, New Delhi - DPCC",2016,27,29,26,19,28,30,25,NA,5,31,30,31
"Mandir Marg, New Delhi - DPCC",2015,NA,NA,NA,22,31,30,31,30,30,28,30,24
"Mandir Marg, New Delhi - DPCC",2013,30,20,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"Mandir Marg, New Delhi - DPCC",2012,21,24,28,28,24,NA,20,30,24,29,28,30
"Mandir Marg, New Delhi - DPCC",2011,NA,NA,NA,9,29,26,26,1,21,28,2,NA
"Mundaka, Delhi - DPCC",2018,NA,NA,NA,NA,NA,NA,29,31,30,NA,NA,NA
"Mundaka, Delhi - DPCC",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mundaka, Delhi - DPCC",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mundaka, Delhi - DPCC",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSIT Dwarka, New Delhi - CPCB",2018,31,28,31,30,31,28,31,31,30,NA,NA,NA
"NSIT Dwarka, New Delhi - CPCB",2017,NA,NA,NA,NA,NA,NA,NA,NA,20,31,30,31
"NSIT Dwarka, New Delhi - CPCB",2015,30,27,31,30,31,7,NA,NA,NA,NA,NA,NA
"NSIT Dwarka, New Delhi - CPCB",2014,31,28,31,30,30,29,29,31,29,29,30,30
"NSIT Dwarka, New Delhi - CPCB",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"NSIT Dwarka, New Delhi - CPCB",2012,31,28,23,27,27,30,25,NA,NA,NA,21,27
"NSIT Dwarka, New Delhi - CPCB",2011,31,28,31,30,28,30,31,29,30,31,30,29
"NSIT Dwarka, New Delhi - CPCB",2010,28,28,31,29,31,29,31,31,30,31,30,31
"NSIT Dwarka, New Delhi - CPCB",2009,20,28,30,29,31,30,31,31,30,31,11,13
"Najafgarh, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"Nehru Nagar, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"North Campus, DU, New Delhi - IMD",2018,31,28,31,17,31,26,31,31,30,NA,NA,NA
"North Campus, DU, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,1,25,31,30,31
"North Campus, DU, New Delhi - IMD",2016,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1
"North Campus, DU, New Delhi - IMD",2015,NA,NA,NA,1,NA,NA,NA,NA,30,31,30,1
"North Campus, DU, New Delhi - IMD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"North Campus, DU, New Delhi - IMD",2010,NA,9,27,27,NA,NA,3,NA,NA,NA,NA,1
"Okhla Phase-2, Delhi - DPCC",2018,NA,28,31,30,31,30,31,31,30,NA,NA,NA
"Patparganj, Delhi - DPCC",2018,NA,28,28,30,31,30,31,31,30,NA,NA,NA
"Punjabi Bagh, Delhi - DPCC",2018,31,28,31,30,30,29,31,31,30,NA,NA,NA
"Punjabi Bagh, Delhi - DPCC",2017,29,26,31,19,6,8,NA,NA,NA,14,29,26
